folder,tempo,zcr,beats,spec_centroid,rms_mode,rms_max,rms_avg,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,SpecCon0,SpecCon1,SpecCon2,SpecCon3,ton0,ton1,ton2,ton3,ton4,ton5,chr0,chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11
Alec Benjamin-Different Kind Of Beautiful,107.666015625,0.06298811629011825,348,1643.1518737852314,0.2,0.6,0.24962838,-34.467594,111.8334,7.032973,26.593163,9.301241,-7.3315187,1.540853,-3.3337824,-6.712215,3.535189,16.434897950872056,19.99900007518326,21.8382763665309,42.67556794510627,0.12046278840152719,0.09830670902540396,-0.06242703663367206,0.0646105589359256,-0.019311637640118316,0.009837557299728334,0.36741593,0.25574794,0.33635274,0.28777015,0.43659937,0.3818512,0.25872064,0.3516138,0.290229,0.38640565,0.24415497,0.2953596
Alessia Cara - Here,61.5234375,0.08763952280545424,200,2058.8283836027354,0.3,0.6,0.28863838,13.818216,93.61613,-4.4924297,28.42795,-8.350561,10.719479,1.3735063,2.217053,4.347205,-0.25267693,15.0644707584944,19.383045894187923,21.28311105410838,42.87375939817795,0.06956197424948907,0.08684068474713298,0.018897807674378347,-0.07450595235496937,-0.03499148858798111,-0.011786156795356497,0.42566568,0.3651295,0.486913,0.3268635,0.32447457,0.42216033,0.33892122,0.3899388,0.33235544,0.43074414,0.32659516,0.34174737
Alok - Hear Me Now,123.046875,0.059753846586420294,461,1441.8601427744827,0.1,0.6,0.16436973,-90.59635,124.37107,3.147154,12.08723,2.4086466,-0.17549261,-0.23974249,1.1836557,-9.346174,-1.8465251,16.48098244730357,20.443501533305884,23.272364148237752,43.73036736713791,-0.10568103763049298,-0.11749064581578755,0.06480034685454877,-0.0867561424836393,-0.006527540737655952,0.013782179622298477,0.21756339,0.2529812,0.25308505,0.39493647,0.21875727,0.28552443,0.48545155,0.2610802,0.27996936,0.28369206,0.4884844,0.4351886
Alpines - Alright,172.265625,0.04655841056139327,685,1395.166181673342,0.3,0.6,0.26120842,-60.481247,131.20767,5.229039,22.850142,10.21626,0.19820233,19.546564,-0.50618976,3.9207249,11.402848,17.787398934223468,19.604424900658127,20.7372046583298,44.047566992255746,0.20539600413969422,0.16444241761359651,-0.07729180396009312,0.05174459910122987,0.019160213070321015,0.04796022059993097,0.44276148,0.3908374,0.4321274,0.40142706,0.35468793,0.2997134,0.27601275,0.42353106,0.4415074,0.54950565,0.43380973,0.37181816
Alpines - Out of View,198.76802884615384,0.05803666686064556,691,1474.703626819572,0.3,0.5,0.27979517,-35.433533,124.23412,-9.2535305,44.704998,8.390156,9.196848,15.28729,0.24751872,-0.3370644,12.987205,14.677383246814813,19.811273039390375,20.113315120227913,46.61298130202281,0.12110433502463244,0.2676268654767584,0.028432224080939282,-0.0010472177853268732,-0.011181846662003146,-0.030997737867774003,0.34438187,0.30344954,0.36729673,0.3405048,0.36052054,0.4285253,0.45892856,0.6855447,0.5494693,0.47757387,0.3554144,0.28480294
Aly & AJ - Take Me,99.38401442307692,0.08317883408535624,347,1800.9273010723527,0.3,0.6,0.2337537,-4.8935175,110.20036,-11.808665,20.508848,-2.9155567,6.4135494,-0.45274365,1.3260694,-1.7918227,2.6537607,14.644717710247116,17.82197766639521,18.3292719744952,44.4889610375198,0.1339256246956002,0.003942176143391914,0.006498248880563066,-0.07519920723913645,-0.006863110462549983,-0.007831384355049195,0.28875276,0.3807044,0.53502184,0.36186978,0.43752795,0.30958217,0.4349191,0.3543614,0.33132344,0.46809512,0.36124834,0.39928785
Angel Haze - Battle Cry,161.4990234375,0.09400751987493715,576,2452.2394722992867,0.3,0.5,0.26320764,22.546902,73.85954,7.5655355,20.252071,5.700114,4.7492485,2.932567,6.3896966,4.912898,6.548137,14.598978795770796,19.23369404751042,21.223278832006322,38.30946899298321,-0.039716609340473774,0.0658601047798388,0.05981696300485295,0.028537144741022816,-0.021486533086728793,-0.0055397892930069996,0.37800357,0.2907946,0.37096682,0.43852204,0.3795617,0.42111033,0.3524017,0.42539254,0.3452954,0.3286451,0.35791507,0.32132027
Angel Haze - Chi (Need To Know),135.99917763157896,0.1076882549293921,507,2454.752829733902,0.2,0.6,0.24607708,23.481,81.62858,-13.960959,15.666808,5.159726,3.0472744,2.15363,0.52594936,2.9616215,2.8234928,17.00939241106492,19.91275418633014,19.573598452596244,42.10190002223489,0.08894212962895331,-0.07386586121249444,0.02715967181725724,-0.042909661054360226,0.014657668295509683,0.02724998053002144,0.2849125,0.34221658,0.3157891,0.32261163,0.41802025,0.3130812,0.4694021,0.3737519,0.48182738,0.58271575,0.37355047,0.3748177
Anitta-Girl From Rio,143.5546875,0.07022772556625424,479,1989.1402372812536,0.1,0.6,0.2114648,-53.817253,77.06184,-5.1960874,13.521819,5.83672,0.38141558,6.149457,4.4562902,3.4292066,13.580445,17.009306757559774,20.216335751569353,19.842181619903332,38.24347413228807,0.04480864446836011,0.0944775034111354,-0.007057845483633983,0.045049654157769806,0.0040535189614653395,-0.020227605638913775,0.38133177,0.3141338,0.41470903,0.34806028,0.49869126,0.36391577,0.32320157,0.44409388,0.34595022,0.3481555,0.28631943,0.321506
"Anne-Marie, Shania Twain-UNHEALTHY feat Shania Twain",117.45383522727273,0.06990867886446829,324,2240.709461776116,0.4,0.6,0.252339,-15.275234,85.20269,13.116879,20.03785,9.653688,9.624835,6.418572,8.26032,2.633468,6.796586,15.570032284075866,19.178183345450787,19.30947959115654,38.754073063654694,0.10216744395562403,-0.034728385137875524,-0.001015412751497586,-0.03882766400094892,0.005640965891965033,-0.005744131600897043,0.4414988,0.48040605,0.47305465,0.40090853,0.4631171,0.38346195,0.48901007,0.39180169,0.3743047,0.4195596,0.42528147,0.54364246
Ariana Grande - Dangerous Woman,135.99917763157896,0.10177343942331364,503,2335.540933852268,0.1,0.3,0.124608584,-60.575706,82.5289,-17.318508,11.883585,-6.2726374,5.267557,2.330603,-0.54311866,5.948247,9.873852,15.918670415678957,19.34438696590311,21.00253652745871,42.327083285056005,0.1312165337951856,0.07727919049320894,0.06161741953061592,0.11053583990027716,0.032528586431623374,-0.003956617120995471,0.31954774,0.30905318,0.39127964,0.3052562,0.41540185,0.24168919,0.2694916,0.411666,0.29181087,0.38147405,0.32307884,0.45779836
Ariana Grande - Into You,107.666015625,0.09190679497541207,427,2266.4379986982526,0.3,0.5,0.2364903,-14.429711,82.66407,4.051821,22.02997,6.518578,5.1622157,6.281343,-0.25186965,8.288824,12.970549,14.49820918169298,18.297492258352314,20.232078595140774,39.176753005149756,0.041245338246367384,-0.03954092914015992,-0.04793704700505779,-0.02371872247962335,-0.0006416296535763089,-0.001662760023933664,0.38517892,0.4537561,0.32958883,0.32250378,0.41941857,0.3137372,0.40006194,0.3346576,0.46040523,0.5342945,0.40895268,0.4569002
Ariana Grande - Side To Side,161.4990234375,0.09651670481979126,582,2297.846629612915,0.2,0.6,0.24394266,-9.9481325,75.83906,-5.292911,14.801747,1.0760667,5.1256585,7.4318776,0.98697376,8.848716,8.573349,15.628584949943697,18.786029503290003,20.854442847205757,39.01569206475261,0.020614313084565863,-0.08178090505847381,-0.047813369858357914,-0.018838099341449303,0.011204489477559984,0.0051324471896535655,0.32273766,0.41969702,0.3303729,0.3271422,0.37543377,0.3439482,0.4351409,0.32453337,0.38400632,0.40067664,0.31829453,0.35808548
"Ariana Grande, Doja Cat, Megan Thee Stallion-3435 Remix feat Doja Cat Megan Thee Stallion - Remix",112.34714673913044,0.10989494549279992,436,2682.632806511416,0.1,0.3,0.102078974,-107.802345,71.15864,12.3026285,19.464714,9.960664,0.99407303,4.5195518,3.094895,2.6346052,6.2899027,16.60262337826154,19.341918605121485,19.593317736029455,39.21829958266009,0.023520691635598927,0.07558323760251602,-0.008907982345267951,0.008044391934357218,0.0015591294604130398,-0.0072839559961475,0.4517057,0.3444706,0.3415,0.32578763,0.3322047,0.36515138,0.3512522,0.44179627,0.39365783,0.44478655,0.44202346,0.42589617
"Ariana Grande, Justin Bieber-Stuck with U with Justin Bieber",89.10290948275862,0.08153254721006979,332,2127.428374671492,0.2,0.6,0.20603885,-29.685701,92.80097,0.68748707,15.753585,8.276547,4.153612,3.7508018,3.5249777,-2.162814,6.80878,17.13409384643796,20.228845461252945,21.31759755739704,42.302184623218345,-0.1501178751873278,0.02563086209166731,-0.030113988425398083,0.07836611019779757,0.007767317551514407,-0.002239076051485377,0.45229295,0.35919926,0.3234845,0.42187268,0.28891477,0.3152784,0.24132621,0.36774215,0.41709372,0.33143595,0.4668971,0.33884686
Ariana Grande-3435,112.34714673913044,0.1005355336118995,402,2494.831939626675,0.2,0.6,0.18655525,-49.124653,73.91295,0.83765227,18.59984,3.0160952,-1.651076,-0.46795133,-2.3996143,3.2371993,3.5773957,16.97193886164968,21.27488802762585,21.519248901351197,40.762611616655015,0.046883909665000445,0.11886124029166899,-0.017414613556556203,0.020414811060686017,0.0015996486690512232,0.0037364304731558945,0.40208414,0.31564552,0.3167462,0.27854908,0.30091774,0.35424915,0.3226331,0.43935102,0.35267475,0.42404613,0.3327718,0.3233238
Ariana Grande-positions,143.5546875,0.10049568525326798,417,2706.512960482922,0.2,0.4,0.2225098,-2.287474,69.069786,20.648052,22.067162,7.378299,7.885257,1.594419,-2.078937,4.215859,5.556956,17.74443011421934,21.78037502389816,22.750722087507512,37.45227609350581,0.07807176464402844,0.06307690904525169,-0.05072463765944313,-0.008288293684668591,0.0048133261862222535,-0.011228939235138884,0.3931937,0.32635704,0.39410794,0.30338204,0.3697201,0.35708928,0.2588203,0.3926795,0.29246292,0.43021825,0.29031327,0.27021226
Ariana Grande-pov,129.19921875,0.06960065820513554,417,2086.330516131715,0.3,0.6,0.2592817,-33.430553,88.0813,17.19722,28.055645,12.91606,4.577809,6.569498,-1.9932092,4.63831,8.331773,17.848688575664422,22.234786256676287,23.234013480981808,40.00899192842978,-0.12621470120399697,0.13715465147299008,0.1393568160330439,0.03348488057721211,0.0003456356139360139,0.027889855924890322,0.29643428,0.23283939,0.35708293,0.39131004,0.2656579,0.31696188,0.27262273,0.40347603,0.29334393,0.27017993,0.33983877,0.25728914
Ariana Grande-test drive,117.45383522727273,0.08364338405307342,223,2552.716027784195,0.3,0.6,0.29502943,5.926065,78.55404,15.608112,20.473234,16.81574,10.114142,4.3215017,0.17793797,5.8408737,13.092656,17.35014789121777,21.515580230798992,22.970086042266743,39.33379024129132,0.1105681700883608,0.06732069997471851,-0.046042278870513334,0.07578268287368746,0.008392370212457662,-0.012399786604885336,0.44032118,0.35608163,0.42815238,0.37639242,0.5074758,0.4341981,0.30434468,0.4184119,0.34949422,0.43080354,0.34425846,0.3413738
Arizona Zervas-ROXANNE,172.265625,0.08542156388274336,484,2120.7565448588743,0.3,0.6,0.2617563,-31.499943,78.8152,4.0770288,19.05166,-0.19359072,7.350203,-11.654221,-2.5996442,-10.959784,8.426262,16.543178334061857,20.492772130967673,19.9681981490177,43.81351369920446,0.047453394671983826,-0.08840816238063551,-0.05597780891069657,0.003356736277561353,0.00021888560278936233,9.221851824446427e-05,0.37142208,0.489248,0.384266,0.34446394,0.4375505,0.38815543,0.45508564,0.355387,0.45763332,0.47872755,0.37983218,0.45635387
Astrid S - Hurts So Good,117.45383522727273,0.08714875181113549,373,1954.7063378597686,0.2,0.6,0.23076753,-18.38386,103.01515,0.05458837,13.256103,7.3880544,1.0796499,0.7301001,3.1852212,-2.056495,-0.36814362,15.878010234767448,19.49691311676797,20.359513612009952,42.748338238313806,0.06584168373333812,0.2186600645843006,0.0512147663525261,-0.09585752009823727,0.007765672390558525,-0.0146790248115185,0.49089316,0.3301073,0.43139943,0.28782102,0.21509589,0.2691528,0.24263622,0.37153324,0.29404593,0.39935398,0.49596483,0.32906258
Avicii - Without You (feat. Sandro Cavazza),135.99917763157896,0.08670499316356854,383,2241.661544515873,0.3,0.7,0.2599646,21.602076,84.8618,-8.343844,18.67363,9.534641,8.402476,1.3042533,9.652077,-0.78505546,7.4737844,16.16550856033008,19.258082175780203,20.345660470720045,41.86793237688165,0.11757757414851369,-0.0217534142427741,0.010559264497368962,-0.0579891559555062,-0.016145404788127145,-0.010645757739124302,0.3667468,0.46992528,0.54055446,0.3549653,0.36320856,0.31200916,0.4762173,0.3540149,0.34287435,0.44084358,0.34892872,0.402447
"Bad Bunny, Bomba Estéreo-Ojitos Lindos",161.4990234375,0.08304679537540344,661,2053.2967750598687,0.2,0.6,0.20723629,-27.482653,95.7465,1.1559604,13.08269,7.787137,3.3638048,2.4533434,5.6131015,-9.152823,8.316835,15.728024574584783,20.149328497741312,20.38503293245954,41.76623256833145,-0.14832354856187785,-0.10844507651392174,-0.008024848282074839,-0.004204973674460616,-0.006765511372759062,0.0029242271865247862,0.3054213,0.40631723,0.28946698,0.32961285,0.27960512,0.38931957,0.44798404,0.3237523,0.47155365,0.36388382,0.43069997,0.34354222
"Bad Bunny, Chencho Corleone-Me Porto Bonito",92.28515625,0.07169675421651081,267,2143.184381232142,0.3,0.6,0.2485305,-24.258991,80.47644,6.6395493,24.637823,8.346661,2.271371,6.1300707,10.418619,-8.832097,10.14957,16.4699015392954,20.639133881379465,21.092218252452156,41.18959366057679,0.022157823662741615,-0.06645773509520425,-0.08669573089679289,0.059201477325204886,0.027481084768687134,0.003951152162403565,0.3694214,0.4642086,0.36241198,0.45945454,0.4855903,0.33511025,0.32772568,0.33799177,0.47717038,0.45879513,0.39710504,0.381496
"Bad Bunny, Jhayco-DKITI",107.666015625,0.06012311171078325,354,1560.007012600534,0.1,0.4,0.12453894,-121.044205,120.01036,11.364983,8.422991,8.154883,6.836765,-0.14574374,15.719626,-10.74327,11.030511,15.941395610185653,20.28008946009534,20.1658645114182,43.89952300319623,0.11914580993140936,0.0024248995631170776,-0.0003444153398141288,0.043160472863371366,0.009230376369947673,0.012962851697183178,0.37215158,0.3080433,0.34300175,0.37163988,0.54719836,0.3636709,0.43141675,0.4515741,0.3557296,0.41156435,0.35460314,0.45072013
"Bad Bunny, Jhayco-Tarot",112.34714673913044,0.0908152207844021,451,2216.6668922864974,0.2,0.6,0.27323848,7.6767354,84.74579,-5.60321,10.927152,-0.18903589,4.7458944,-10.070526,3.130331,-13.26259,3.4290159,16.675979925639872,21.16398872962622,21.474413643327583,43.92237436512333,0.10523292590338643,-0.08664756887862951,-0.02979625954648781,-0.010388684246644441,-0.0005893623647298781,-0.007807166586418931,0.31552064,0.4452465,0.5035844,0.3154361,0.3950144,0.3036429,0.40757266,0.27602452,0.3389289,0.4302363,0.36371934,0.4317789
"Bad Bunny, Jowell & Randy, Ñengo Flow-Safaera",95.703125,0.08534939713889762,452,2356.4589275814055,0.3,0.7,0.3440085,28.012163,81.19523,0.31720805,9.105142,9.396753,11.725181,-2.7220652,16.883022,-1.751063,12.040333,16.006904410207454,19.360879820759028,19.93770579747289,41.984734845854845,-0.003295879086088443,0.005577928076966029,-0.038110133324234095,0.03453169184885415,0.0021934464415924253,-0.006091969519966032,0.40823203,0.3687677,0.39279974,0.407874,0.44134417,0.4367556,0.41346392,0.45420995,0.4854252,0.48644933,0.43018043,0.40356773
"Bad Bunny, Rauw Alejandro-Party",129.19921875,0.08862269874210633,482,2384.620778249006,0.1,0.6,0.24127114,-25.20672,72.07751,0.7451913,18.359362,3.3834116,9.511524,1.416207,7.1717014,-4.2762423,12.2190695,17.48552808713127,19.880586280525115,21.061914686578774,41.95239473036124,0.01470778654801282,-0.08113877145589259,-0.04666230499605543,0.003523075146447663,0.015003027667893151,-0.012786800363875587,0.41800922,0.49146974,0.43137878,0.44602284,0.48001817,0.4092908,0.3927535,0.3555578,0.46952453,0.4338243,0.41613698,0.4579127
"Bad Bunny, ROSALÍA-LA NOCHE DE ANOCHE",161.4990234375,0.0710253749665954,505,2139.229209613063,0.2,0.5,0.24261895,-45.15812,83.53785,15.454924,21.831934,10.203208,12.103557,6.6822495,10.918568,-4.7238426,11.398925,17.256538720059982,21.41612449163756,21.58104375882244,40.62195918243341,0.1149443035353748,0.04745339536684105,0.03998955934126037,0.047272416027208025,0.022951912777975838,-0.007057743733998298,0.35479593,0.31986672,0.38296452,0.3655285,0.42235583,0.38926235,0.45523,0.4802036,0.4098495,0.4726582,0.39069012,0.44970295
Bad Bunny-Efecto,99.38401442307692,0.07243803769382481,250,2000.6871099496861,0.0,0.6,0.15626769,-127.96058,67.58737,7.065801,16.282024,9.026291,4.4072585,1.8102,8.937341,-12.957917,5.75949,18.43211341308932,23.24885689608246,23.17196880494319,41.63484832108624,0.06265171705996943,0.11576627952422573,-0.03546124564865564,-0.024062699369145794,-0.009559078134181427,0.00849945140093065,0.40289482,0.31844103,0.40590075,0.38164145,0.41068232,0.33708042,0.27807269,0.30779138,0.2843128,0.38590088,0.35938758,0.34549734
Bad Bunny-Moscow Mule,99.38401442307692,0.0668434310051499,394,1866.0367640190761,0.2,0.6,0.22616333,-22.081728,105.215034,14.195432,14.932179,4.911247,7.0684214,4.1494656,16.128733,-14.429191,9.481584,15.323533428757509,19.471678523580444,21.405409254512183,41.08642203269535,-0.1682547975630586,0.07982897474362767,-0.077600227687895,0.020802513105890312,-0.010716663849234953,-0.02959085136214937,0.4849652,0.35306865,0.34586462,0.4462124,0.3185862,0.38718152,0.29407254,0.37658456,0.5012281,0.37536597,0.4309122,0.37724766
Bad Bunny-Tit Me Pregunt,107.666015625,0.073494339968967,390,2069.5882433964794,0.2,0.5,0.22958243,-34.648357,91.331055,0.27463764,17.121252,6.4202394,4.547825,5.4958825,9.976202,-11.937157,9.080641,16.897188566397773,19.32539705217804,19.894730465016977,43.377245413935874,-0.08602714296473546,0.03270714581801747,-0.12910639131191012,-0.013175164412805992,-0.01604758872902884,-0.016672301907630062,0.55464184,0.45689413,0.38578746,0.40636027,0.45226246,0.486261,0.44760954,0.4712293,0.45366728,0.42745635,0.46314752,0.46861976
Bad Bunny-Yonaguni,123.046875,0.0861373009398706,391,2083.884907918531,0.1,0.4,0.1593262,-65.42616,91.38829,12.72043,19.380116,4.0992565,-4.2740145,1.0018342,9.356065,-20.539284,8.028706,16.707058489737175,21.274774115750454,23.75161187387455,42.66654453879469,-0.14650501919121084,-0.00756026506817253,-0.03940076456380912,-0.010705475766703809,0.0063371066969186065,0.007682963352107444,0.37293464,0.47778946,0.31546476,0.42203122,0.33130747,0.45687112,0.31684044,0.3104949,0.4083844,0.34938145,0.3753595,0.26656568
Bailey Zimmerman-Religiously,143.5546875,0.0826950721096508,504,1966.1371775550108,0.2,0.7,0.19441848,-29.099215,99.962555,3.5861855,9.642008,-0.8442742,10.419722,-5.8431787,6.003972,-4.1544566,2.9769225,17.27823967030043,19.976225114101858,21.549355137142918,43.06415996184574,-0.16004155030463957,-0.06454599354955137,-0.08043182750809921,0.009619619669430896,0.017363807616609467,-0.011172161533565643,0.34669274,0.46466658,0.27759606,0.3664045,0.2966924,0.36603686,0.25105152,0.29332343,0.42730525,0.29227605,0.30254734,0.23779318
BANKS - 27 Hours,75.99954044117646,0.07365688967288436,235,1841.823223651551,0.1,0.6,0.23863721,-6.385214,112.414276,0.097575635,11.53494,1.7241001,5.4571266,-0.4165661,0.95262367,0.16973943,5.3558407,15.473052237366096,19.511594496649508,21.465428523960387,43.199546701340175,0.040881099992659715,-0.18053797747578318,-0.0691299574817684,-0.07741327817791874,0.002232956609847857,0.03003466737889698,0.2795433,0.39915016,0.2683633,0.26085642,0.351678,0.33100638,0.53960735,0.3454897,0.44987223,0.4675201,0.30187228,0.344222
BANKS - Before I Ever Met You,161.4990234375,0.06234961276878801,638,1635.405066564511,0.1,0.2,0.09448307,-117.49892,119.645744,-1.8840346,7.8898106,-4.220679,11.937093,-4.3262067,3.7313519,-3.6888137,5.549576,17.276252775565812,18.706720296416627,17.339236880963277,42.91270764975125,-0.07814052649362431,0.13006669336480603,-0.12174779093131703,0.043527353145619056,-0.040394958377286294,-0.01908570322129519,0.3899468,0.2672346,0.24246842,0.3263062,0.39214984,0.5449675,0.40416205,0.37427208,0.41208133,0.3890379,0.40835208,0.3336856
BANKS - Beggin For Thread,107.666015625,0.06787291470063217,427,1834.6933082679932,0.2,0.3,0.14798984,-57.228107,108.74923,-8.494504,22.780342,2.480891,7.185252,2.5538883,2.4758015,2.4608526,5.283615,14.972062874433758,17.068904627230907,17.539864556770404,42.337337391362645,-0.0537241128479591,0.017027138934386506,-0.0813283958209366,0.16605630408642463,0.018941988067705574,-0.02056825504637323,0.6184933,0.46086636,0.39899573,0.4389106,0.38453135,0.42097446,0.33967608,0.44037014,0.5351501,0.4341852,0.4410979,0.4732635
BANKS - Fuck Em Only We Know,172.265625,0.061303914199814985,688,1767.7566795382468,0.3,0.5,0.23817176,-58.569687,103.49522,19.508526,8.254375,-4.3957863,1.5980052,-10.670278,-0.8555883,-14.32979,2.7843225,19.185880915531342,23.00824387974499,24.059007844883553,40.58878682534273,-0.05053428946995951,-0.1787239618334503,0.05909673328740193,0.07561467723416862,0.007240005630389004,-0.01581265897858079,0.27650282,0.36797455,0.24880391,0.35701653,0.28291136,0.25813186,0.35125178,0.243432,0.37583107,0.25106144,0.39785948,0.45529917
BANKS - Trainwreck,151.99908088235293,0.09751051351696916,543,2241.6249117222646,0.2,0.5,0.21853757,-0.9360739,84.86902,-5.246134,26.264688,3.318412,4.409789,1.2052815,6.4827647,5.740705,8.490391,13.891432513257268,17.068635751672623,18.42045147635374,42.34375762520951,-0.11570247779620758,0.06583866343783175,-0.12372589508202762,-0.04101584472998735,0.010011312376831815,-0.023561333532674637,0.49327695,0.3602834,0.34648925,0.3702958,0.36564934,0.53877294,0.37256506,0.4437243,0.5004148,0.42335498,0.46356675,0.4079602
