folder,label,tempo,zcr,beats,spec_centroid,rms_mode,rms_max,rms_avg,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,SpecCon0,SpecCon1,SpecCon2,SpecCon3,ton0,ton1,ton2,ton3,ton4,ton5,chr0,chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11
Angel Haze - Battle Cry,<pad> sadness,161.4990234375,0.0940075198749371,576,2452.2394722992867,0.3,0.5,0.26320764,-55.092583,74.24253,8.887247,20.552002,5.744961,4.8875036,3.6852968,6.6677895,5.7294927,6.8202205,14.598978795770796,19.23369404751042,21.22327883200632,38.30946899298321,-0.0397166093404737,0.0658601047798388,0.0598169630048529,0.0285371447410228,-0.0214865330867287,-0.0055397892930069,0.37800357,0.2907946,0.37096682,0.43852204,0.3795617,0.42111033,0.3524017,0.42539254,0.3452954,0.3286451,0.35791507,0.32132027
Ariana Grande - Dangerous Woman,<pad> anger,135.99917763157896,0.1017734394233136,503,2335.540933852268,0.1,0.3,0.124608584,-138.93944,82.75775,-16.982136,12.260418,-5.5362186,4.7554617,2.7023442,-0.5918659,6.258082,9.811742,15.918670415678957,19.34438696590311,21.00253652745871,42.327083285056005,0.1312165337951856,0.0772791904932089,0.0616174195306159,0.1105358399002771,0.0325285864316233,-0.0039566171209954,0.31954774,0.30905318,0.39127964,0.3052562,0.41540185,0.24168919,0.2694916,0.411666,0.29181087,0.38147405,0.32307884,0.45779836
Ariana Grande - Into You,<pad> anger,107.666015625,0.091906794975412,427,2266.4379986982526,0.3,0.5,0.2364903,-91.47856,80.837296,4.2579727,21.4455,5.9702926,4.4043975,5.9201255,-0.75100636,8.119635,13.018864,14.49820918169298,18.297492258352317,20.232078595140774,39.17675300514976,0.0412453382463673,-0.0395409291401599,-0.0479370470050577,-0.0237187224796233,-0.0006416296535763,-0.0016627600239336,0.38517892,0.4537561,0.32958883,0.32250378,0.41941857,0.3137372,0.40006194,0.3346576,0.46040523,0.5342945,0.40895268,0.4569002
Ariana Grande - Side To Side,<pad> sadness,161.4990234375,0.0965167048197912,582,2297.846629612915,0.2,0.6,0.24394266,-92.89567,75.82963,-4.199967,15.445244,1.812531,4.6530094,7.8763566,1.0806586,9.524324,9.2850685,15.628584949943695,18.786029503290003,20.85444284720576,39.01569206475261,0.0206143130845658,-0.0817809050584738,-0.0478133698583579,-0.0188380993414493,0.0112044894775599,0.0051324471896535,0.32273766,0.41969702,0.3303729,0.3271422,0.37543377,0.3439482,0.4351409,0.32453337,0.38400632,0.40067664,0.31829453,0.35808548
Astrid S - Hurts So Good,<pad> sadness,117.45383522727272,0.0871487518111354,373,1954.7063378597688,0.2,0.6,0.23076753,-95.00518,104.569595,1.1273265,13.6138115,8.410631,0.9579711,1.3506609,3.050059,-1.6004229,-0.545838,15.878010234767448,19.49691311676797,20.359513612009952,42.748338238313806,0.0658416837333381,0.2186600645843006,0.0512147663525261,-0.0958575200982372,0.0077656723905585,-0.0146790248115185,0.49089316,0.3301073,0.43139943,0.28782102,0.21509589,0.2691528,0.24263622,0.37153324,0.29404593,0.39935398,0.49596483,0.32906258
BANKS - 27 Hours,<pad> sadness,75.99954044117646,0.0736568896728843,235,1841.823223651551,0.1,0.6,0.23863721,-81.314026,114.64217,0.8078697,12.129997,1.698183,5.311758,-0.34968773,0.72906953,0.51494527,5.296338,15.473052237366096,19.511594496649508,21.465428523960387,43.199546701340175,0.0408810999926597,-0.1805379774757831,-0.0691299574817684,-0.0774132781779187,0.0022329566098478,0.0300346673788969,0.2795433,0.39915016,0.2683633,0.26085642,0.351678,0.33100638,0.53960735,0.3454897,0.44987223,0.4675201,0.30187228,0.344222
BANKS - Before I Ever Met You,<pad> sadness,161.4990234375,0.062349612768788,638,1635.405066564511,0.1,0.2,0.09448307,-196.40454,121.73421,-2.073757,8.751459,-3.2471197,11.907208,-2.901335,3.4834146,-3.1980753,5.531517,17.276252775565812,18.706720296416627,17.339236880963277,42.91270764975125,-0.0781405264936243,0.130066693364806,-0.121747790931317,0.043527353145619,-0.0403949583772862,-0.0190857032212951,0.3899468,0.2672346,0.24246842,0.3263062,0.39214984,0.5449675,0.40416205,0.37427208,0.41208133,0.3890379,0.40835208,0.3336856
BANKS - Beggin For Thread,<pad> joy,107.666015625,0.0678729147006321,427,1834.6933082679927,0.2,0.3,0.14798984,-131.5777,109.84585,-7.3856535,23.176706,3.0075102,6.9278975,2.7446616,2.1327326,2.4203942,5.341498,14.972062874433758,17.068904627230907,17.539864556770404,42.337337391362645,-0.0537241128479591,0.0170271389343865,-0.0813283958209366,0.1660563040864246,0.0189419880677055,-0.0205682550463732,0.6184933,0.46086636,0.39899573,0.4389106,0.38453135,0.42097446,0.33967608,0.44037014,0.5351501,0.4341852,0.4410979,0.4732635
BANKS - Fuck Em Only We Know,<pad> anger,172.265625,0.0613039141998149,688,1767.7566795382468,0.3,0.5,0.23817176,-133.09499,106.114075,20.36084,8.535791,-4.29273,0.07886364,-10.633019,-2.3780246,-14.713418,2.4010239,19.185880915531342,23.00824387974499,24.059007844883556,40.58878682534273,-0.0505342894699595,-0.1787239618334503,0.0590967332874019,0.0756146772341686,0.007240005630389,-0.0158126589785807,0.27650282,0.36797455,0.24880391,0.35701653,0.28291136,0.25813186,0.35125178,0.243432,0.37583107,0.25106144,0.39785948,0.45529917
BANKS - Trainwreck,<pad> sadness,151.99908088235293,0.0975105135169691,543,2241.6249117222646,0.2,0.5,0.21853757,-77.51975,85.63144,-4.757951,26.49683,3.5592859,4.447763,1.4998785,6.4041324,6.1563935,8.671183,13.891432513257268,17.068635751672623,18.42045147635374,42.34375762520951,-0.1157024777962075,0.0658386634378317,-0.1237258950820276,-0.0410158447299873,0.0100113123768318,-0.0235613335326746,0.49327695,0.3602834,0.34648925,0.3702958,0.36564934,0.53877294,0.37256506,0.4437243,0.5004148,0.42335498,0.46356675,0.4079602
Becky G - Sin Pijama,<pad> joy,184.5703125,0.0791830038111391,587,2000.178076866216,0.2,0.4,0.1603132,-156.389,88.03033,0.5687346,24.449389,-0.070211664,1.8935217,2.4292128,-2.537824,1.8460854,-0.6128806,16.36287624797611,19.282642279945645,20.02144768059807,41.00902630429056,0.0716222496016122,-0.0496187567495916,0.0150614196004967,-0.0091721845490958,-0.0056743346307169,-0.0084676184160745,0.35401404,0.4207298,0.4743617,0.3264842,0.36952478,0.28805915,0.36153552,0.28743225,0.34492382,0.37986004,0.3510316,0.4425402
Beyoncé - Sorry,<pad> sadness,129.19921875,0.0686267935537307,559,2106.019072651904,0.3,0.6,0.18817355,-156.22946,78.98116,-3.795265,18.143608,6.300952,8.518562,6.9034514,5.6139655,4.809173,12.195714,16.698467578863447,21.033304362696104,20.676357719950158,42.387222637724754,0.0923678194264035,-0.0616913059107299,-0.03648515068097,-0.0191728009891643,0.0053163011456563,0.0339259283791736,0.32666147,0.3465125,0.39191613,0.414435,0.44230795,0.40575275,0.4433642,0.4363452,0.5455278,0.51752144,0.41002384,0.4095662
Billie Eilish - bitches broken hearts,<pad> sadness,117.45383522727272,0.0390794165291214,259,1155.815229134751,0.2,0.6,0.21081187,-224.63098,122.65896,50.123463,40.437477,16.209904,12.90053,3.050619,0.43682462,-5.041541,-5.512576,20.73736440526157,19.932747616252605,18.440783737084782,38.96583535427967,0.2017037912417172,0.1318064809026639,-0.0477666639739808,0.1118299028698787,-0.0253213938295777,0.0123425737155201,0.523729,0.30873096,0.28042766,0.22789219,0.40655276,0.32260007,0.19085658,0.20957398,0.22618264,0.42008895,0.32425097,0.42119518
Billie Eilish - Bored,<pad> sadness,80.74951171875,0.0406857319030072,234,1168.5564884187957,0.1,0.5,0.17474148,-218.68936,115.98648,21.657291,24.021826,0.84176195,5.5892963,0.3365532,-6.169916,-0.9585825,-6.6992555,18.614969787050256,21.30302734354975,20.89188772628687,38.555965698453406,0.1637022828811693,0.0127060792540923,0.1516327142913773,-0.0243455702568608,-0.0171465283751576,-0.0227153626577391,0.33421925,0.27696812,0.45746133,0.29136205,0.2463276,0.22859024,0.34066805,0.34312904,0.22163089,0.24457577,0.28290918,0.44789594
Billie Eilish - idontwannabeyouanymore,<pad> sadness,172.265625,0.0523787626085291,551,1452.0138831813822,0.3,0.6,0.22543412,-145.03683,122.63434,17.049017,26.840027,6.058536,2.9029512,-0.31839195,0.9519311,3.619876,-0.9515219,18.22958873184245,21.468666888019985,24.107576594083508,41.98089834947817,0.1910386239596758,0.0239919765198755,0.1051205874662438,0.0895646480794961,0.0187142993736093,-0.0050926759567924,0.32433957,0.24860188,0.30920133,0.2849002,0.37054256,0.27646697,0.37367418,0.36729383,0.2517443,0.31638184,0.27197686,0.39470932
Billie Eilish - my boy,<pad> joy,89.10290948275862,0.061796554076419,251,1693.3557711699364,0.4,0.6,0.2551874,-147.23975,109.80405,8.978324,23.032078,1.2338876,6.6516128,-3.2798357,-1.8049846,-0.2133969,-0.60444695,18.464317100318496,20.781870826136903,20.27741488643843,41.9614926640103,0.07927376821148,-0.0486981438593115,0.0642963342583221,-0.070518026009846,-0.0169597496307209,-0.0061594766124647,0.35124436,0.3802988,0.42656228,0.30982542,0.31592247,0.30552226,0.40333086,0.3356973,0.27540955,0.31255737,0.3362598,0.42192337
Billie Eilish - ocean eyes,<pad> sadness,143.5546875,0.0447742143162207,459,1337.9651830611938,0.4,0.5,0.2719713,-181.4917,125.49831,32.43577,14.693235,2.1894035,-6.5879474,2.6848497,-12.477377,-1.2081774,-4.4224095,20.486401102862803,24.155214411013954,25.589022128901583,38.160488665514606,0.2345240299464494,0.088504145829327,0.1378864250812065,0.1927151378137481,0.0614383037926784,-0.0212262791249707,0.35545582,0.24511693,0.33104295,0.29967737,0.4202946,0.296463,0.27842277,0.52083474,0.24818297,0.20538016,0.19896872,0.41734958
Billie Eilish - you should see me in a crown,<pad> anger,151.99908088235293,0.03521728515625,448,1319.186526589302,0.2,0.7,0.30755395,-165.47083,112.30404,33.48273,36.118744,19.628422,19.192041,9.276541,9.150507,3.6759744,6.95684,16.271238969459656,18.20309442261877,17.54178084108586,40.1862272436876,-0.092930925203497,-0.1086426094738177,0.084479444345219,0.1461680520646908,-0.0765885036582238,-0.0411964125693407,0.43009552,0.33863515,0.31898418,0.34245723,0.312135,0.32656664,0.40278903,0.502649,0.6419537,0.63358724,0.5925897,0.53554595
Bruno Mars - 24K Magic,<pad> anger,107.666015625,0.1212381592421915,398,2608.3058108863115,0.3,0.5,0.24980031,-42.98225,73.066376,-4.0550685,19.682493,-0.22411345,13.0057,-0.95367485,6.3551674,0.36617735,7.191001,14.403029485137486,18.22771246214874,19.65764819372682,41.42727948976928,-0.0647840532262179,0.0566978743104767,-0.0468536012167115,0.0163184216014489,-0.004540878106224,-0.0071059472277872,0.43291354,0.36642346,0.37512872,0.44800743,0.41150743,0.4752598,0.4027699,0.4658651,0.4196543,0.35998824,0.46613458,0.38874474
Bruno Mars - That's What I Like,<pad> joy,135.99917763157896,0.108547540451905,453,2506.910706982482,0.2,0.5,0.23455566,-80.89342,68.984566,0.9343919,19.749298,3.5311565,13.167801,-3.9710312,6.8116527,0.51027745,6.46448,15.950894621658778,19.689136582230564,20.806801727152216,40.7120100815763,-0.1181269682402283,0.0348427504699597,-0.0232731508581931,-0.0028145224421167,-0.0117313859418523,-0.0004817341822532,0.3848923,0.37894148,0.34432766,0.4383415,0.42671236,0.4966878,0.3947112,0.39086735,0.47668317,0.41314012,0.44871014,0.35540795
Bryson Tiller - Don't,<pad> anger,95.703125,0.0605287021454932,319,1792.7682538251745,0.1,0.6,0.13442147,-206.24516,102.59067,41.318466,34.05147,21.840038,-1.1986351,-7.897047,2.1317017,-13.745205,9.219774,14.789735734075858,20.20911838758507,20.81116891080127,41.07287918472882,0.128172006230473,-0.1345005992712776,0.0325886177579292,-0.0067100992189742,0.0260333776559871,-0.0024266866198019,0.3174706,0.31821278,0.3670271,0.3684105,0.5062736,0.4431705,0.5545383,0.45088643,0.33132386,0.36508846,0.38482696,0.4724436
Bryson Tiller - Exchange,<pad> anger,161.4990234375,0.0942398350029463,494,2299.09031944018,0.1,0.6,0.15997644,-169.00322,90.83556,21.518745,19.10526,18.726372,-10.999738,8.0103855,7.601666,-7.24486,12.982069,17.59275534608366,21.461897093350142,24.943221714486626,43.49185412828172,-0.039025827604706,-0.1922118655999833,-0.1370810446767362,0.0384134111660337,0.0228375645134851,0.0105818633471972,0.3463528,0.40545797,0.33358297,0.35498506,0.38104585,0.33032593,0.37982824,0.42211586,0.5732206,0.43551967,0.31607553,0.36071554
Cage The Elephant - Trouble,<pad> anger,151.99908088235293,0.0694781132337323,587,1678.7961929359296,0.2,0.5,0.15687393,-129.61343,119.08104,5.5254297,11.899681,5.6138163,12.42187,-0.3861657,1.7004218,-2.362582,7.9583654,15.731371255773906,19.8681633182478,20.02896199253429,43.041998951725205,0.0892573291949146,0.065180744945992,-0.0566240371388156,0.1320048919396964,0.0060281616768706,0.0095741840574714,0.4591281,0.2752456,0.28777492,0.30334178,0.44484416,0.35110995,0.27951708,0.3951616,0.37181887,0.4169388,0.25521922,0.33356568
Calum Scott - Dancing On My Own,<pad> sadness,112.34714673913044,0.0879130499960679,407,1565.8973073532245,0.0,0.3,0.053821962,-273.51068,120.95379,4.272925,13.78387,-1.9350955,3.7248566,11.369188,4.6962433,-5.680369,1.3825141,19.538580054009984,23.632557185480906,27.33393458087028,47.92202277517936,-0.2239950930860886,-0.1088582772547696,-0.1383712602779953,0.032815338192148,-0.0129123926458546,-0.0060813536187122,0.40169293,0.49631953,0.23318146,0.27899984,0.2456536,0.39162463,0.27399358,0.2633818,0.42368445,0.246067,0.22720274,0.19924988
Calvin Harris - My Way,<pad> sadness,117.45383522727272,0.0745863981496866,462,1961.2698488150852,0.3,0.7,0.2705279,-49.98476,107.5144,-4.6321054,12.0587435,5.322812,8.895589,1.7723615,5.400401,2.57442,5.4037495,16.309349194341063,19.29026967563723,18.59124801958941,41.67868091463957,0.1825933281068665,0.013153641389302,-0.0060827319751998,-0.0081938503626126,0.0125154315886532,-0.0033634178671497,0.3825804,0.3780893,0.44363648,0.36749333,0.49352935,0.35080028,0.4664062,0.5963434,0.41456923,0.44136727,0.37131438,0.43163362
Calvin Harris - This Is What You Came For,<pad> joy,123.046875,0.0976440216402154,479,2366.822873529566,0.3,0.5,0.26205593,-47.133907,88.33359,-2.3619654,11.126727,-0.24074484,3.830653,1.4875648,-0.21323207,-3.792475,-1.8716182,15.45121931229794,18.830491864821305,18.61641643767409,39.26499134424077,0.125339984946869,0.0670381773980825,-0.0208571889035943,0.0557022114342238,0.0015286430144371,0.0139916367537683,0.5094606,0.32960078,0.38750288,0.29113773,0.40032333,0.25116163,0.26451758,0.4605063,0.32901615,0.4203062,0.29031646,0.38833675
Camila Cabello - I Have Questions,<pad> sadness,83.35433467741936,0.075455501956584,289,1929.5546894594088,0.3,0.5,0.20796959,-116.915215,102.598145,5.1170907,25.704952,-6.2057686,8.015898,7.227483,-2.845635,2.2390418,2.503616,17.36252853949699,20.50054199662059,22.79131120179626,42.9308787960547,-0.1989225804342835,-0.0255340153309318,-0.0738423732224097,-0.0486256080197003,0.0068928463624934,-0.0013133238491046,0.40840986,0.39445126,0.2985713,0.42205602,0.33633363,0.46411476,0.31085154,0.30775064,0.4217436,0.3390908,0.41072255,0.29925984
Cardi B - I Like It,<pad> joy,135.99917763157896,0.1074365764155741,572,2401.7029441095115,0.3,0.6,0.24754071,-63.188835,80.376434,-14.596512,15.785494,-4.4233513,5.8412485,-0.21560222,7.67845,-1.6123358,6.865374,16.31204654169971,19.321215286393446,19.851894159988163,43.52798159954892,-0.0386114276507536,0.0683087363950994,-0.0485944726846789,0.0260892643371367,-0.0017737721279484,-0.006792499695352,0.4960647,0.38080773,0.30726624,0.29192474,0.3295872,0.39732572,0.33771005,0.424278,0.4427204,0.41484782,0.44012868,0.3930242
Carlos Vives - Al Filo de Tu Amor,<pad> joy,129.19921875,0.100259759169574,456,2349.546458023332,0.2,0.5,0.19703452,-86.639595,78.18467,-1.4121541,22.396442,9.323699,10.240284,0.6920107,5.0160904,-2.2995706,2.2451167,14.750112874640347,18.461140219533693,18.778214526206863,40.6283620633162,0.0042873961492167,-0.0845209412199926,-0.036443753550986,0.0326805538741768,0.0191944055535431,-0.0139754311123151,0.35548183,0.42701742,0.35712063,0.46301368,0.52926576,0.3303553,0.31092232,0.28833628,0.40597156,0.36789572,0.37052903,0.43477434
Carlos Vives - La Bicicleta,<pad> sadness,184.5703125,0.1082773917870388,705,2357.891395082213,0.2,0.6,0.25212768,-48.261784,83.00261,-15.782008,20.216398,1.8220826,-0.20604849,0.84933686,3.1716833,-2.0852888,3.535658,14.734910246510951,17.954295999560973,18.65098344128993,42.49677502550192,0.0370431816871442,0.018746123501301,-0.0052715495683976,0.0184230678751623,-0.0046530020508611,0.0006073606675108,0.5003184,0.33557907,0.39067954,0.35272443,0.46672687,0.4053829,0.37681624,0.4154856,0.35421398,0.41286162,0.35539988,0.49235344
Cascada - Everytime We Touch,<pad> sadness,143.5546875,0.1062482570815305,452,2677.472539465309,0.1,0.2,0.12314766,-129.2721,65.80768,5.58503,13.151082,6.840084,7.577893,5.483382,5.3753514,-0.037080932,7.4054203,14.378160019098452,17.498993251907333,18.355727584334097,35.66625599802515,-0.0460276956785574,0.0353400480345057,0.0071287995488913,0.0162045289808153,0.0058609890352589,-0.0054015654959227,0.43026423,0.35939643,0.36759827,0.43948466,0.32705763,0.38835272,0.29938307,0.4138601,0.47413838,0.37435216,0.4254198,0.36333483
Catey Shaw - Night Go Slow,<pad> sadness,123.046875,0.0708688115525731,481,1748.225574940964,0.2,0.3,0.14395097,-172.3326,108.31591,9.9368305,10.476097,-8.515093,4.900325,0.48240897,3.1770742,-6.7759857,2.780567,16.826922017361564,19.184497822695725,22.702149721762048,41.68599945474597,0.156091233572321,-0.0451768777824007,-0.0104208867207415,-0.0734922592600551,-0.0071605489148956,-0.0150318466833773,0.3248356,0.47389922,0.5249226,0.30493158,0.297202,0.23559721,0.35696334,0.28653336,0.35679027,0.48069108,0.3297974,0.37791654
Charlie Puth - Attention,<pad> joy,99.38401442307692,0.0855805775524379,374,2196.872851289819,0.3,0.6,0.23554265,-122.44211,84.1454,18.433529,15.418162,6.965534,5.8490376,1.5246372,0.4404174,-3.7164805,1.7041785,16.21727281680763,19.995583752676485,20.702635890209287,38.91942635579495,-0.1241798323703358,-0.0342650589428695,-0.0065243873529063,-0.0370799187674964,0.0098164999172791,-0.011735209273069,0.3316957,0.38852012,0.28736708,0.34622437,0.2425157,0.33252424,0.3228808,0.2672998,0.40579262,0.3499521,0.46117035,0.3375464
Childish Gambino - Redbone,<pad> anger,161.4990234375,0.0691176062744054,854,1704.9499727133698,0.1,0.4,0.16312389,-185.36516,102.421234,32.33368,32.898796,5.3002706,18.245422,0.604747,8.489954,-1.2275732,6.2944975,16.436871604487305,21.06413338051184,23.652119779075026,41.56979058870343,0.0159320671905056,0.0502859624103992,-0.0091408564402818,-0.065389319500953,-0.013605960453691,-0.0030565462858012,0.31534114,0.36592737,0.51227957,0.34678334,0.3583439,0.4400294,0.37535256,0.38697824,0.3553145,0.40505826,0.37515873,0.30860093
Chord Overstreet - Hold On,<pad> love,123.046875,0.0602138969035635,380,1441.835004604554,0.3,0.5,0.19497861,-167.20793,124.99396,22.971447,20.123192,6.585576,3.2138827,2.8965724,7.5607395,-9.121817,-0.2718761,18.30793604878166,21.66076531417121,21.687971035716227,42.42112455317076,0.2669243594224423,0.0119818423742059,0.0199585919878104,-0.1787305461427271,-0.0506175403241872,-0.0205905887516866,0.27020952,0.41733783,0.60983163,0.36972326,0.3048725,0.24876678,0.37970036,0.2898266,0.2739623,0.4014078,0.29397056,0.36002555
Coldplay - Adventure of a Lifetime,<pad> joy,112.34714673913044,0.1278594456727587,539,2335.465192653178,0.2,0.3,0.13458852,-147.92287,88.50014,-6.304696,25.90525,-2.8555715,14.175878,-6.7823806,8.474297,-1.6645411,6.009129,14.746633095327468,18.99369920056791,19.934033590864345,44.98881157121773,0.1069890762991951,0.0462144680702881,-0.0263650067308953,0.0050084720635365,0.0076140966161436,0.0097304379216108,0.3594941,0.27017033,0.36631164,0.28340036,0.3525997,0.23680355,0.2519482,0.3872071,0.4072606,0.58591396,0.36358413,0.36945552
Coldplay - Hymn for the Weekend,<pad> sadness,89.10290948275862,0.1208528703806767,378,2427.233370393442,0.2,0.3,0.13707036,-109.19975,82.31358,-21.834469,4.697657,-13.242785,4.846456,-4.0960207,-1.0098644,-4.8557944,0.39995036,16.224835758675923,20.659239248832808,20.49123101400996,42.408298975652606,-0.0354213220086933,0.1355012244490988,0.0852098261139696,0.0315432545788691,0.0119548542296469,0.0100724366558831,0.43722877,0.24513413,0.3706138,0.40326557,0.23996691,0.24711542,0.25714108,0.50160927,0.3259904,0.2730874,0.34913906,0.27674606
Crystal Castles - Crimewave,<pad> joy,123.046875,0.057446979822889,623,1840.034080868643,0.2,0.3,0.16592987,-182.29231,94.098015,23.786058,32.181602,9.210027,19.884247,-4.826423,9.421096,-4.4925222,2.762033,16.994057858121728,21.33263891349003,20.091850317883896,42.02084365769833,0.0821083043673239,-0.0075123881770289,0.0609600957093252,0.1039468319180459,0.0027160210902503,0.0043735563015568,0.44137657,0.3066776,0.28254065,0.29523608,0.3731281,0.31416714,0.30202752,0.33739015,0.3236779,0.41961354,0.3783574,0.51654977
